 Force constants in Cartesian coordinates: 
      7 -0.272245D+00  0.536391D-03  0.127799D+00  0.443943D-02  0.503434D-03
      8  0.251332D-04 -0.367701D-01  0.107615D-02  0.527206D-03  0.608158D-02
      9  0.123415D+00 -0.159140D-03 -0.131170D+00  0.297208D-01  0.384551D-03
     10 -0.271890D+00  0.730022D-02 -0.127615D+00  0.440793D-02 -0.449910D-03
     11  0.781078D-02 -0.370912D-01  0.535833D-02 -0.470099D-03  0.610305D-02
     12 -0.123274D+00  0.397695D-02 -0.131155D+00 -0.296912D-01  0.137193D-02
     13  0.430775D-02 -0.137429D-03  0.184311D-02 -0.269343D+00  0.186109D-01
     14 -0.170659D-03  0.488546D-02 -0.465896D-02  0.189123D-01 -0.332603D-01
     15 -0.297694D-01  0.222916D-02 -0.129797D-01 -0.122334D+00  0.125237D-01
     16  0.432085D-02  0.153506D-03 -0.198932D-02 -0.270531D+00 -0.107580D-01
     17  0.190895D-03  0.487514D-02 -0.461078D-02 -0.110679D-01 -0.321234D-01
     18  0.298243D-01  0.123789D-02 -0.129844D-01  0.122857D+00  0.850920D-02
     19  0.403249D-03 -0.738360D-04 -0.360375D-03 -0.238510D-02  0.409899D-03
     20 -0.772462D-04 -0.419475D-02 -0.223650D-01  0.414759D-03  0.230878D-01
     21 -0.894291D-04 -0.543501D-02 -0.870848D-02  0.146290D-03  0.900063D-02
                6             7             8             9            10 
      6  0.813831D+00
      7 -0.209883D-02  0.280523D+00
      8 -0.654034D-03 -0.503618D-03  0.230063D-01
      9 -0.129630D-01 -0.138456D+00 -0.283093D-03  0.137762D+00
     10  0.207644D-02 -0.152071D-01  0.712142D-03 -0.136176D-01  0.280160D+00
     11 -0.726016D-03 -0.871809D-04  0.371853D-02  0.775563D-04 -0.806085D-02
     12 -0.129594D-01  0.136126D-01 -0.376400D-03  0.100000D-01  0.138292D+00
     13 -0.125945D+00  0.104071D-02 -0.453665D-03 -0.216084D-03  0.150191D-02
     14  0.191833D-01 -0.170922D-03 -0.791821D-02 -0.115837D-03  0.127161D-03
     15 -0.130141D+00  0.214273D-03 -0.514406D-03  0.118287D-02  0.917835D-03
     16  0.126676D+00  0.149094D-02 -0.231439D-03 -0.885703D-03  0.105111D-02
     17  0.150491D-01  0.208715D-03  0.116548D-01 -0.259517D-04 -0.124997D-03
     18 -0.130203D+00 -0.902447D-03  0.508540D-03 -0.484794D-02 -0.230660D-03
     19  0.418854D-03 -0.418556D-04 -0.757593D-04  0.399277D-04 -0.234311D-04
     20  0.259878D-01 -0.486820D-03  0.227150D-03  0.121913D-03  0.496243D-03
     21  0.662017D-02 -0.168432D-03  0.243243D-03  0.364678D-04  0.176871D-03
               11            12            13            14            15 
     11  0.233374D-01
     12 -0.491572D-02  0.137744D+00
     13  0.563861D-03  0.882698D-03  0.277765D+00
     14  0.116475D-01 -0.575293D-04 -0.200045D-01  0.294288D-01
     15  0.474811D-03 -0.484956D-02  0.137077D+00 -0.124266D-01  0.137018D+00
     16  0.159091D-03  0.213194D-03 -0.152687D-01 -0.130215D-02  0.133911D-01
     17 -0.792814D-02 -0.121859D-03  0.188154D-02  0.209578D-02 -0.187282D-02
     18 -0.509006D-03  0.118279D-02 -0.134454D-01 -0.142990D-02  0.962412D-02
     19  0.844012D-04 -0.354991D-04 -0.348715D-05  0.260876D-02  0.502783D-03
     20  0.212930D-03  0.122635D-03 -0.460744D-03 -0.687910D-02 -0.413855D-03
     21  0.240051D-03  0.368167D-04 -0.196993D-03 -0.494527D-03  0.145499D-03
               16            17            18            19            20 
     16  0.279018D+00
     17  0.117437D-01  0.282369D-01
     18 -0.137587D+00 -0.791571D-02  0.137083D+00
     19 -0.805170D-04 -0.283196D-02 -0.516270D-03  0.213114D-02
