 Force constants in Cartesian coordinates: 
     11 -0.669292E-03 -0.848230E-04  0.370098E-02  0.766917E-04 -0.804252E-02
     12 -0.129705E-01  0.136132E-01 -0.377030E-03  0.999489E-02  0.138268E+00
     13 -0.126085E+00  0.104630E-02 -0.434377E-03 -0.215874E-03  0.150298E-02
     14  0.182587E-01 -0.168384E-03 -0.797813E-02 -0.123174E-03  0.124947E-03
     15 -0.130231E+00  0.213521E-03 -0.498024E-03  0.118136E-02  0.913479E-03
     16  0.126792E+00  0.149304E-02 -0.203720E-03 -0.883434E-03  0.105590E-02
     17  0.141189E-01  0.212974E-03  0.117289E-01  0.000000E+00 -0.129354E-03
     18 -0.130294E+00 -0.898375E-03  0.500898E-03 -0.484796E-02 -0.229351E-03
     19  0.387203E-03 -0.404031E-04 -0.689602E-04  0.386818E-04 -0.234750E-04
     20  0.240039E-01 -0.447344E-03  0.224820E-03  0.120105E-03  0.456589E-03
     21  0.626482E-02 -0.153655E-03  0.233876E-03  0.349591E-04  0.161746E-03
               11            12            13            14            15 
     11  0.234605E-01
     12 -0.493175E-02  0.137747E+00
     13  0.538230E-03  0.881300E-03  0.277805E+00
     14  0.117224E-01 -0.307556E-04 -0.192202E-01  0.291851E-01
     15  0.467199E-03 -0.484956E-02  0.137156E+00 -0.119721E-01  0.137124E+00
     16  0.138001E-03  0.212789E-03 -0.152937E-01 -0.122380E-02  0.134112E-01
     17 -0.798752E-02 -0.129220E-03  0.180541E-02  0.216192E-02 -0.179414E-02
     18 -0.492657E-03  0.118129E-02 -0.134628E-01 -0.135057E-02  0.963059E-02
     19  0.775092E-04 -0.343520E-04  0.235262E-05  0.245416E-02  0.482195E-03
     20  0.211820E-03  0.120819E-03 -0.446684E-03 -0.647037E-02 -0.403269E-03
     21  0.231043E-03  0.352775E-04 -0.183074E-03 -0.471522E-03  0.127154E-03
               16            17            18            19            20 
     16  0.279011E+00
     17  0.109571E-01  0.280328E-01
     18 -0.137657E+00 -0.745942E-02  0.137189E+00
     19 -0.694635E-04 -0.266453E-02 -0.495452E-03  0.188772E-02
